industry_sector,founding_team_size,initial_funding_usd,num_funding_rounds,market_type,country_region,num_competitors_proxy,year_founded,outcome,market_demand,pain_point_severity,idea_novelty,scalability,barriers_to_entry,revenue_model_strength,acquisition_difficulty,willingness_to_pay
Hardware + Software,1.0,12209831.0,2,Unknown,USA,516.0,2003,acquired,7,5,6,9,8,7,5,6
Software,2.0,900000.0,1,Unknown,USA,5609.0,2006,failed,5,4,3,7,4,5,7,5
Storage,2.0,13000000.0,1,Unknown,USA,1703.0,2012,failed,6,4,2,5,4,5,7,5
E-Commerce,2.0,735000.0,5,B2C,USA,1511.0,2008,active,8,5,4,9,4,7,7,6
Clean Technology,2.0,96800000.0,5,Unknown,USA,531.0,2005,failed,8,8,7,5,9,6,6,5
Hardware + Software,2.0,3000000.0,1,Unknown,USA,337.0,2000,acquired,7,5,7,8,8,7,5,6
Payments,2.0,100000000.0,3,Unknown,USA,970.0,2000,acquired,8,5,5,7,5,8,6,6
Curated Web,2.0,55237600.0,5,B2C,USA,4004.0,2005,acquired,8,4,4,8,3,7,9,5
Subscription Businesses,2.0,37600000.0,5,Unknown,USA,93.0,2003,active,8,5,7,7,6,7,5,6
Semiconductors,2.0,33331814.0,3,Unknown,USA,1511.0,1994,active,7,6,7,6,7,7,6,6
Shopping,2.0,28000000.0,4,Unknown,USA,1146.0,2003,failed,6,4,3,6,5,6,7,5
Information Technology,2.0,45000000.0,3,Unknown,RUS,1511.0,2008,active,7,5,4,7,5,7,6,6
Finance,2.0,125000.0,1,Unknown,USA,525.0,2012,active,7,8,5,6,6,8,4,8
Health And Wellness,2.0,29800000.0,4,B2C,USA,231.0,2006,active,9,8,5,7,6,9,6,8
Travel,2.0,195000000.0,5,B2C,CHN,2460.0,2006,ipo,9,4,4,8,4,8,8,6
Security,2.0,450000.0,2,B2B,POL,436.0,2009,active,8,8,5,7,6,10,3,10
Biotechnology,3.0,75000000.0,4,Unknown,USA,1084.0,2005,acquired,9,9,6,7,7,10,6,9
Social Media,3.0,975000.0,2,B2C,USA,898.0,2011,failed,5,3,3,7,3,5,10,4
Health And Wellness,2.0,11900000.0,2,B2C,USA,58.0,1997,active,8,8,8,7,6,9,6,8
Hardware + Software,4.0,1158000.0,2,Unknown,USA,901.0,2008,active,7,5,4,8,7,6,6,6
Fashion,2.0,22000000.0,1,B2C,USA,191.0,2008,acquired,7,4,6,7,5,7,8,5
Search,2.0,681350.0,1,Unknown,DEU,1195.0,2009,failed,5,4,3,5,4,5,7,5
Manufacturing,2.0,700000.0,1,B2B,USA,1511.0,1990,active,7,6,5,7,4,8,5,7
Social Media,1.0,5250000.0,1,B2C,ARE,970.0,2000,acquired,7,4,5,9,3,6,9,5
Software,2.0,11000000.0,3,Unknown,USA,3702.0,2003,acquired,8,5,4,9,4,7,6,6
Curated Web,2.0,1800000.0,1,B2C,USA,8589.0,2011,active,6,4,4,6,3,6,9,5
Semiconductors,2.0,72002285.0,5,Unknown,USA,116.0,2009,active,8,6,8,6,9,7,5,6
Software,2.0,5300000.0,2,Unknown,USA,1661.0,2007,acquired,7,5,4,8,4,7,6,6
Proximity Internet,2.0,41000000.0,2,Unknown,USA,4790.0,2010,failed,6,4,3,5,5,6,7,5
Video Games,2.0,25000.0,1,B2C,COL,1511.0,2011,active,6,4,4,6,2,5,9,4
Biotechnology,2.0,2005038.0,3,Unknown,USA,340.0,1996,ipo,9,9,9,7,9,10,4,9
Mobile,1.0,212000000.0,7,Unknown,GBR,672.0,2002,acquired,9,5,6,9,6,8,5,6
Finance,1.0,100000.0,2,Unknown,ZAF,582.0,2011,active,7,8,5,6,5,8,4,8
Virtual Workforces,2.0,2500000.0,1,Unknown,USA,1346.0,2006,ipo,7,6,4,7,5,7,5,6
Medical,2.0,5055753.0,1,Unknown,GBR,1511.0,2009,active,8,9,6,6,7,6,6,6
Software,2.0,16500000.0,2,Unknown,USA,3132.0,2001,active,7,5,4,8,5,7,6,6
K-12 Education,2.0,3217147.0,2,Unknown,USA,1511.0,2007,active,8,8,4,6,4,6,6,6
Networking,1.0,48500000.0,5,Unknown,MYS,1170.0,2001,acquired,8,5,4,7,5,8,6,6
Finance Technology,2.0,2531304.0,1,Unknown,GBR,618.0,2011,active,8,8,5,6,6,8,4,8
Software,2.0,2200000.0,1,Unknown,USA,1511.0,2003,active,6,5,4,8,4,6,6,6
Public Relations,1.0,50000.0,1,Unknown,AUS,1218.0,2008,failed,5,4,3,5,4,4,7,5
Broadcasting,2.0,15400000.0,1,Unknown,USA,238.0,2004,active,7,5,6,6,6,7,5,6
Enterprise Software,2.0,750000.0,1,B2B,USA,3233.0,2008,failed,6,5,3,8,4,8,5,9
Biotechnology,2.0,51885190.0,8,Unknown,USA,1285.0,2008,active,9,9,6,6,7,9,6,8
Networking,2.0,42300000.0,3,Unknown,USA,847.0,2006,active,7,5,4,7,5,7,6,6
Travel,1.0,40000.0,1,B2C,SGP,123.0,2010,failed,5,3,5,5,4,4,9,4
Finance,1.0,200000.0,1,Unknown,CHN,6870.0,2007,failed,6,7,3,5,4,7,6,7
Finance,1.0,370000.0,2,Unknown,SGP,5396.0,2006,failed,6,7,3,5,4,7,6,7
E-Commerce,1.0,1456338.0,1,B2C,USA,5586.0,2010,active,7,5,4,8,4,6,7,6
Sales And Marketing,2.0,200000.0,1,B2B,BRA,8391.0,2010,failed,6,5,3,6,4,6,6,6
Enterprise Software,1.0,38000000.0,2,B2B,NLD,1082.0,2005,active,8,6,4,9,5,10,4,10
Clean Technology,2.0,158700000.0,2,Unknown,DEU,250.0,2002,failed,7,8,7,5,9,6,6,5
Big Data Analytics,3.0,13000000.0,1,B2B,USA,1511.0,2007,acquired,8,6,4,10,4,10,4,10
Software,2.0,6500000.0,1,Unknown,USA,4037.0,2004,acquired,7,5,4,9,4,7,6,6
Technology,2.0,288565568.0,2,Unknown,USA,23.0,1990,ipo,8,6,9,7,8,8,4,7
Health Care,2.0,58950000.0,2,Unknown,USA,15.0,1990,ipo,9,8,9,7,8,10,4,9
Online Shopping,2.0,100000000.0,4,Unknown,ZAF,1511.0,2010,active,8,5,4,7,5,7,6,6
Legal,2.0,10000000.0,1,Unknown,USA,198.0,2008,active,8,8,6,6,6,8,4,8
Messaging,2.0,40000.0,1,Unknown,URY,1511.0,2012,active,6,5,3,6,4,6,6,5
Graphics,2.0,11000000.0,2,Unknown,GBR,516.0,2001,acquired,7,5,6,7,6,7,5,6
Enterprise Software,2.0,97500.0,1,B2B,USA,2249.0,2009,failed,5,5,3,8,4,8,5,9
Creative Industries,3.0,19044025.0,4,Unknown,USA,2381.0,2007,acquired,8,5,4,7,5,7,6,6
E-Commerce,2.0,22500.0,2,B2C,RUS,5210.0,2011,failed,5,4,3,7,4,5,8,4
Advertising,2.0,1400000.0,1,Unknown,USA,1661.0,2007,acquired,7,5,4,8,4,7,6,6
Telecommunications,2.0,17000000.0,1,Unknown,ISR,229.0,1996,ipo,8,6,7,7,7,8,4,6
Social Media,2.0,242880.0,1,B2C,DEU,5396.0,2006,failed,5,3,3,7,3,4,10,4
Nanotechnology,2.0,9084161.0,1,Unknown,USA,1511.0,2010,active,7,6,6,6,7,6,6,6
Health Care,2.0,3473820.0,1,Unknown,FRA,1511.0,2011,acquired,8,8,4,6,4,9,6,9
Registrars,2.0,250000.0,1,Unknown,LUX,1041.0,2011,active,6,5,4,6,4,6,6,6
E-Commerce,2.0,550000.0,1,B2C,USA,1511.0,2012,active,7,5,3,8,4,6,7,6
Biotechnology,2.0,20000000.0,1,Unknown,USA,1511.0,1992,ipo,9,9,8,7,8,10,5,9
Telecommunications,2.0,50360919.0,1,Unknown,GBR,1511.0,2011,ipo,8,6,4,7,6,8,5,7
Analytics,2.0,103100000.0,7,B2B,USA,163.0,2005,acquired,9,6,7,10,6,10,3,10
Health Care,2.0,550000.0,2,Unknown,USA,1511.0,2009,active,7,8,4,6,4,8,6,8
Hardware + Software,1.0,2535800.0,2,Unknown,USA,569.0,2004,active,7,5,6,8,8,6,5,6
Consulting,2.0,8000000.0,1,Unknown,USA,3702.0,2003,active,7,5,4,6,4,6,6,6
Social Media,1.0,435000.0,4,B2C,USA,866.0,2012,failed,6,3,2,8,3,5,10,4
Advertising,1.0,7300000.0,2,Unknown,USA,607.0,2009,acquired,7,5,5,9,6,7,5,6
Public Relations,1.0,13000000.0,1,Unknown,USA,225.0,1996,acquired,7,5,7,7,6,7,5,6
Social Network Media,2.0,2649997.0,4,B2C,USA,8589.0,2011,acquired,7,4,4,7,3,7,9,5
Messaging,2.0,1900000.0,1,Unknown,USA,1511.0,2013,active,6,5,3,6,4,6,6,6
Internet,2.0,1000000.0,1,Unknown,ISR,1511.0,2013,active,6,5,3,6,4,6,6,6
News,2.0,310000.0,2,B2C,USA,212.0,2008,active,7,5,5,6,6,6,6,6
Curated Web,3.0,2100000.0,2,B2C,USA,9634.0,2010,acquired,7,4,4,7,3,6,9,5
Cloud Data Services,1.0,135000000.0,1,B2B,USA,4669.0,2006,active,8,6,4,9,5,8,5,7
Advertising,1.0,24997.0,1,Unknown,GBR,3128.0,2011,failed,5,4,3,6,4,4,7,5
Education,2.0,2395319.0,3,Unknown,USA,1447.0,2011,active,8,8,4,6,4,7,6,6
Subscription Businesses,1.0,200000.0,2,Unknown,USA,1218.0,2008,active,6,5,4,6,4,6,6,5
Social Media Marketing,2.0,1000000.0,2,B2B2C,ARG,1511.0,2010,active,6,4,4,8,3,6,8,5
Advertising,2.0,125000.0,2,Unknown,USA,3519.0,2009,failed,5,4,3,7,4,5,7,5
Finance,3.0,140000.0,3,Unknown,USA,7220.0,2012,active,7,8,3,6,4,8,5,8
Curated Web,1.0,2000000.0,1,B2C,SWE,8589.0,2011,active,6,4,4,6,3,6,9,5
Enterprise Security,2.0,2000000.0,1,B2B,USA,1511.0,2012,active,8,8,3,7,4,10,4,10
Finance,1.0,244195300.0,6,Unknown,NZL,5609.0,2006,ipo,10,8,4,8,6,10,4,9
Mobile,1.0,33250000.0,2,Unknown,CAN,3417.0,2012,ipo,8,6,4,9,6,8,5,7
Software,2.0,7000000.0,2,Unknown,USA,5609.0,2006,failed,6,4,3,7,4,5,7,5
Medical,2.0,1475000.0,2,Unknown,USA,1511.0,2010,ipo,8,9,6,6,8,7,5,6
Web Hosting,1.0,17650000.0,2,Unknown,ISR,2602.0,1999,acquired,7,5,5,7,5,7,6,6
Software,2.0,1665000.0,2,Unknown,USA,2862.0,2000,ipo,7,6,6,9,5,7,5,6
Networking,2.0,7500000.0,2,Unknown,USA,4669.0,2005,acquired,7,5,4,7,4,7,6,6
Information Technology,2.0,20000000.0,1,Unknown,CHN,1511.0,2000,ipo,8,6,6,7,6,8,5,6
Cloud Security,2.0,20000000.0,1,B2B,USA,319.0,2013,active,8,8,5,9,6,10,3,10
Web Hosting,1.0,54000000.0,1,Unknown,CAN,416.0,2000,acquired,7,5,7,7,6,7,5,6
Manufacturing,2.0,10000000.0,1,B2B,USA,1511.0,1995,ipo,8,6,6,8,5,9,5,8
Advertising,1.0,26000000.0,4,Unknown,USA,2176.0,2006,acquired,8,5,4,9,5,7,6,6
Classifieds,2.0,15000.0,1,Unknown,USA,5193.0,2009,failed,5,4,3,4,4,4,7,4
Saas,2.0,1107000.0,1,B2B,CAN,856.0,2004,active,7,6,4,9,4,10,4,10
Mobile,2.0,4000000.0,1,Unknown,USA,3233.0,2008,failed,6,4,3,7,4,5,7,5
Curated Web,1.0,1200000.0,1,B2C,USA,5396.0,2006,failed,5,3,3,5,3,4,10,4
Public Transportation,2.0,60704370.0,4,Unknown,USA,30.0,2000,acquired,8,5,9,7,7,8,5,6
Auctions,2.0,50000.0,1,Unknown,USA,3456.0,2007,failed,5,4,3,5,4,4,7,5
E-Commerce,2.0,9500000.0,2,B2C,USA,2460.0,2006,acquired,8,5,4,9,4,7,7,6
E-Books,2.0,17000000.0,2,Unknown,USA,1511.0,2012,active,7,5,3,6,5,7,6,6
Games,2.0,1200000.0,2,B2C,USA,3597.0,2010,acquired,7,4,4,7,3,6,9,5
Mobile,5.0,11000000.0,2,Unknown,USA,1281.0,2005,acquired,7,5,4,9,4,7,6,6
Biotechnology,2.0,18139599.0,5,Unknown,USA,999.0,2004,ipo,10,9,7,7,8,10,5,9
Advertising,1.0,7575000.0,3,Unknown,USA,3166.0,2008,failed,6,4,3,8,4,5,7,5
Software,2.0,765000.0,2,Unknown,CAN,1511.0,2013,active,7,5,3,8,4,6,6,6
Finance,2.0,4650000.0,3,Unknown,USA,525.0,2012,active,8,8,5,7,6,9,4,8
Clean Technology,2.0,5653260.0,1,Unknown,USA,682.0,2007,active,8,9,7,6,8,6,5,6
Software,1.0,5300000.0,1,Unknown,USA,8440.0,2009,acquired,7,5,4,8,4,7,6,6
Biotechnology,1.0,2670394.0,2,Unknown,USA,740.0,2012,active,8,9,7,5,8,8,5,8
Games,2.0,4500000.0,3,B2C,GBR,2723.0,2007,active,7,4,4,7,3,6,9,5
Internet Of Things,2.0,1200000.0,2,Unknown,HKG,3417.0,2012,active,7,5,3,6,4,6,6,6
Media,3.0,1500000.0,1,B2C,USA,3417.0,2012,active,6,4,3,6,3,6,7,5
Mobile,2.0,48700000.0,1,Unknown,AUS,1511.0,2008,ipo,8,6,4,9,6,8,5,7
Biotechnology,2.0,533000.0,2,Unknown,USA,999.0,2004,acquired,8,9,6,6,7,9,6,8
Security,1.0,8600000.0,2,B2B,USA,449.0,2001,acquired,9,8,6,8,6,10,3,10
Clean Technology,2.0,7494980.0,2,Unknown,SWE,682.0,2007,active,8,9,7,6,8,7,5,6
Mobile,2.0,1322411.0,2,Unknown,USA,3233.0,2008,failed,6,4,3,7,4,5,7,5
Advertising,2.0,8228681.0,1,Unknown,FRA,9634.0,2010,active,7,5,4,8,4,6,6,6
Online Reservations,2.0,50000.0,1,Unknown,USA,180.0,2009,failed,5,4,5,5,5,4,6,5
Nanotechnology,1.0,21507228.0,5,Unknown,USA,25.0,2008,active,8,6,9,6,10,7,5,6
E-Commerce,1.0,25000.0,1,B2C,USA,5586.0,2010,failed,5,4,3,7,4,4,8,5
Health Care,4.0,75000000.0,3,Unknown,USA,1126.0,2010,ipo,9,8,4,8,6,10,5,9
Software,2.0,2000000.0,2,Unknown,USA,1511.0,2012,active,7,5,3,8,4,6,6,6
Design,2.0,437500.0,1,Unknown,USA,1511.0,2008,active,6,5,4,6,4,6,6,6
Curated Web,2.0,500000.0,1,B2C,USA,7220.0,2012,active,6,4,3,6,3,6,9,5
Hardware + Software,2.0,6480000.0,1,Unknown,USA,449.0,2001,acquired,7,5,6,9,8,7,5,6
Online Dating,1.0,30564744.0,1,B2C,GBR,65.0,2006,active,7,4,6,7,5,6,8,5
Curated Web,2.0,3000000.0,2,B2C,USA,8589.0,2012,active,7,4,3,6,3,6,9,5
Cloud Computing,1.0,10000000.0,2,B2B,USA,4079.0,2010,acquired,8,6,4,10,4,9,5,8
Software,2.0,6040161.0,2,Unknown,USA,3702.0,2003,active,7,5,4,8,4,7,6,6
Video,2.0,345000.0,1,B2C,USA,162.0,2008,failed,6,4,5,5,6,5,7,5
Startups,2.0,615000.0,1,Unknown,SGP,130.0,2006,active,6,5,6,6,6,6,5,6
Software,1.0,15600000.0,1,Unknown,USA,1082.0,2005,failed,6,4,3,7,5,5,7,5
Hospitality,2.0,62814000.0,1,Unknown,USA,129.0,2007,active,7,5,6,6,6,7,5,6
Analytics,2.0,2254193.0,1,B2B,CHE,476.0,2008,active,7,6,5,9,6,10,3,10
Enterprise Software,2.0,155000000.0,7,B2B,USA,2003.0,2008,active,9,6,4,10,5,10,4,10
Banking,2.0,16000000.0,1,Unknown,USA,1511.0,2007,ipo,8,6,4,7,6,8,5,6
Mobile,1.0,18000000.0,3,Unknown,CAN,2381.0,2007,acquired,8,5,4,9,5,7,6,6
Advertising,2.0,19000000.0,2,Unknown,USA,3519.0,2009,active,7,5,4,8,5,7,6,6
